Player,Gross P/W (GBP/EUR),Gross P/W (USD),Gross P/Min(USD),Gross P/Y  (GBP/EUR),Gross P/Y (USD),Gross P/Y  (GBP/EUR) BONUS,Signed,Gross Remaining (USD),Status,Pos.,Pos.,Age,Country,Club,Competition,
Anthony Gordon,150000,190500,18.89880952,7800000,9906000,1040000,45587,#REF!,Starter,F,LW,23,England,Newcastle United,Premier League,
Lloyd Kelly,150000,190500,18.89880952,7800000,9906000,780000,45474,#REF!,Reserve,D,CB,25,England,Newcastle United,Premier League,
Joelinton,150000,190500,18.89880952,7800000,9906000,,45393,#REF!,Starter,M,CM,28,Brazil,Newcastle United,Premier League,
Jarrod Bowen,150000,190500,18.89880952,7800000,9906000,,45207,#REF!,Starter,F,RW,27,England,West Ham United,Premier League,
Lucas Paquetá,150000,190500,18.89880952,7800000,9906000,,44802,#REF!,Starter,F,AM,27,Brazil,West Ham United,Premier League,
Fabián Ruiz,174808,188792.64,18.72942857,9090000,9817200,,44803,#REF!,Starter,M,CM,28,Spain,Paris Saint-Germain,Ligue 1,
João Neves,174808,188792.64,18.72942857,9090000,9817200,,45509,#REF!,Starter,M,DM,19,Portugal,Paris Saint-Germain,Ligue 1,
Conor Gallagher,173077,186923.16,18.54396429,9000000,9720000,3000000,45525,#REF!,Starter,M,CM,24,England,Atletico Madrid,La Liga,
Andreas Christensen,173077,186923.16,18.54396429,9000000,9720000,4000000,44746,#REF!,Reserve,D,CB,28,Denmark,Barcelona,La Liga,
Konrad Laimer,173077,186923.16,18.54396429,9000000,9720000,,45108,#REF!,Reserve,M,CM,27,Austria,Bayern Munich,Bundesliga,
Gregor Kobel,173077,186923.16,18.54396429,9000000,9720000,,45204,#REF!,Starter,K,GK,26,Switzerland,Borussia Dortmund,Bundesliga,
Amadou Onana,140000,177800,17.63888889,7280000,9245600,,45495,#REF!,Reserve,M,DM,23,Belgium,Aston Villa,Premier League,
Jamie Vardy,140000,177800,17.63888889,7280000,9245600,,45450,#REF!,Starter,F,CF,37,England,Leicester City,Premier League,
